"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Azucar Panaderia","7500000000000","Conservas","2028-01-10","Rosarita","340.5","294"
"Sardina Bebidas","7500000000001","Bebidas","2026-12-03","Activia","63.05","264"
"Yogurt Condimentos","7500000000002","Condimentos","2027-10-26","Quaker","44.12","104"
"Azucar Frutas","7500000000003","Frutas","2028-01-28","Lala","466.92","169"
"Mostaza Condimentos","7500000000004","Conservas","2027-10-27","Heinz","376.49","497"
"Crema Lacteos","7500000000005","Condimentos","2026-10-07","Activia","140.34","188"
"Vinagre Frutas","7500000000006","Verduras","2027-02-15","Heinz","193.03","194"
"Crema Verduras","7500000000007","Frutas","2028-02-11","McCormick","306.77","288"
"Soya Panaderia","7500000000008","Lacteos","2026-11-26","Rosarita","148.29","248"
"Yogurt Verduras","7500000000009","Alimentos","2026-08-27","Quaker","333.25","330"
"Pescado Panaderia","7500000000010","Bebidas","2026-08-23","Rosarita","153.87","423"
"Atun Alimentos","7500000000011","Panaderia","2026-11-14","Nutrioli","53.58","499"
"Carne Conservas","7500000000012","Carnes","2028-03-03","Lala","452.36","41"
"Naranja Panaderia","7500000000013","Frutas","2027-05-19","Nescafe","361.55","457"
"Pescado Alimentos","7500000000014","Alimentos","2027-12-26","Nutrioli","483.27","34"
"Sardina Alimentos","7500000000015","Panaderia","2028-02-18","McCormick","39.92","409"
"Papas Lacteos","7500000000016","Panaderia","2026-10-25","Quaker","470.87","33"
"Salsa Frutas","7500000000017","Conservas","2027-08-21","Quaker","481.57","259"
"Harina Bebidas","7500000000018","Carnes","2027-08-30","Quaker","312.58","119"
"Aceite Carnes","7500000000019","Carnes","2028-02-19","Nescafe","373.5","470"
"Pimienta Carnes","7500000000020","Lacteos","2027-02-27","Bimbo","94.86","42"
"Avena Verduras","7500000000021","Bebidas","2026-11-19","Tampico","248.53","330"
"Atun Bebidas","7500000000022","Bebidas","2027-10-26","McCormick","126.24","281"
"Chocolate Frutas","7500000000023","Alimentos","2026-07-05","Bimbo","274.44","489"
"Sardina Panaderia","7500000000024","Desayuno","2026-09-01","Activia","167.16","300"
